#uplink	channel	meanADC
85	20	405.242
85	21	405.266
85	22	405.263
85	23	405.303
85	24	405.27
85	25	405.27
85	26	405.252
85	27	405.255
85	28	405.276
85	29	405.251
85	30	405.27
85	31	405.252
85	32	405.263
85	33	405.257
85	34	405.258
85	35	405.242
85	36	405.244
85	37	405.269
85	38	405.253
85	39	405.253
85	40	405.256
85	41	405.257
85	42	405.258
85	43	405.247
85	44	405.266
85	45	405.289
85	46	405.277
85	47	405.263
85	48	405.265
85	49	405.262
85	50	405.249
85	51	405.261
85	52	405.268
85	53	405.263
85	54	405.269
85	55	405.26
85	56	405.262
85	57	405.25
85	58	405.255
85	59	405.256
85	60	405.267
85	61	405.28
85	62	405.251
85	63	405.265
86	0	398.26
86	1	398.277
86	2	398.326
86	3	398.282
86	4	398.291
86	5	398.341
86	6	398.331
86	7	398.314
86	8	398.309
86	9	398.306
86	10	398.314
86	11	398.304
86	12	398.311
86	13	398.331
86	14	398.318
86	15	398.312
86	16	398.309
86	17	398.318
86	18	398.317
86	19	398.324
86	20	398.325
86	21	398.299
86	22	398.332
86	23	398.313
86	24	398.305
86	25	398.31
86	26	398.323
86	27	398.32
86	28	398.335
86	29	398.308
86	30	398.307
86	31	398.322
86	32	398.308
86	33	398.313
86	34	398.324
86	35	398.315
86	36	398.325
86	37	398.314
86	38	398.331
86	39	398.313
86	40	398.342
86	41	398.33
86	42	398.311
86	43	398.324
86	44	398.321
86	45	398.313
86	46	398.33
86	47	398.338
86	48	398.322
86	49	398.323
86	50	398.336
86	51	398.324
86	52	398.3
86	53	398.328
86	54	398.315
86	55	398.31
86	56	398.319
86	57	398.317
86	58	398.322
86	59	398.332
86	60	398.309
86	61	398.314
86	62	398.32
86	63	398.346
87	0	409.65
87	1	409.638
87	2	409.688
87	3	409.629
87	4	409.676
87	5	409.704
87	6	409.65
87	7	409.666
87	8	409.685
87	9	409.675
87	10	409.67
87	11	409.667
87	12	409.669
87	13	409.681
87	14	409.672
87	15	409.673
87	16	409.69
87	17	409.691
87	18	409.684
87	19	409.679
87	20	409.691
87	21	409.678
87	22	409.702
87	23	409.632
87	24	409.688
87	25	409.703
87	26	409.698
87	27	409.692
87	28	409.695
87	29	409.696
87	30	409.703
